"Datum","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Warengruppe","Umsatz"
2014-06-21,1,6,15.5125,18,61,1,162.410672754329
2014-06-21,1,6,15.5125,18,61,2,691.302129885254
2014-06-21,1,6,15.5125,18,61,3,266.758833683806
2014-06-21,1,6,15.5125,18,61,4,55.3784359085427
2014-06-21,1,6,15.5125,18,61,5,398.075088856397
2014-06-22,1,5,15.7,19,NA,1,99.6276132843513
2014-06-22,1,5,15.7,19,NA,2,687.127455430513
2014-06-22,1,5,15.7,19,NA,3,256.961787120751
2014-06-22,1,5,15.7,19,NA,4,112.87846427577
2014-06-22,1,5,15.7,19,NA,5,399.756375802425
2014-06-23,1,4,16.5,17,NA,1,130.997404965594
2014-06-23,1,4,16.5,17,NA,2,511.714043984716
2014-06-23,1,4,16.5,17,NA,3,190.742545388738
2014-06-23,1,4,16.5,17,NA,4,89.1125310007438
2014-06-23,1,4,16.5,17,NA,5,331.768630064753
2014-06-24,1,7,14.3625,7,21,1,119.068455962972
2014-06-24,1,7,14.3625,7,21,2,508.608322070437
2014-06-24,1,7,14.3625,7,21,3,193.611313869673
2014-06-24,1,7,14.3625,7,21,4,80.6814437485115
2014-06-24,1,7,14.3625,7,21,5,293.582453806941
2014-06-25,1,0,18.4375,10,NA,1,114.248639971521
2014-06-25,1,0,18.4375,10,NA,2,517.169259136224
2014-06-25,1,0,18.4375,10,NA,3,177.06025159912
2014-06-25,1,0,18.4375,10,NA,4,74.4274080594379
2014-06-25,1,0,18.4375,10,NA,5,359.294724220182
2014-06-26,1,6,17.575,8,63,1,139.644833904018
2014-06-26,1,6,17.575,8,63,2,583.733870024269
2014-06-26,1,6,17.575,8,63,3,231.944214454895
2014-06-26,1,6,17.575,8,63,4,84.8155438313241
2014-06-26,1,6,17.575,8,63,5,379.567358758783
2014-06-27,1,4,20.1625,7,95,1,149.199619823898
2014-06-27,1,4,20.1625,7,95,2,595.204307059367
2014-06-27,1,4,20.1625,7,95,3,232.1659297551
2014-06-27,1,4,20.1625,7,95,4,65.0878866069292
2014-06-27,1,4,20.1625,7,95,5,371.32461993901
2014-06-28,1,6,16.9625,6,95,1,234.368963456298
2014-06-28,1,6,16.9625,6,95,2,861.858616856627
2014-06-28,1,6,16.9625,6,95,3,396.51241111032
2014-06-28,1,6,16.9625,6,95,4,105.33599228222
2014-06-28,1,6,16.9625,6,95,5,498.133552158124
2014-06-29,1,7,17.3125,8,61,1,99.024824945212
2014-06-29,1,7,17.3125,8,61,2,770.70069957598
2014-06-29,1,7,17.3125,8,61,3,288.960776618001
2014-06-29,1,7,17.3125,8,61,4,139.687762195994
2014-06-29,1,7,17.3125,8,61,5,316.483478198112
2015-06-20,1,5,17.125,13,NA,1,146.634813820399
2015-06-20,1,5,17.125,13,NA,2,571.278131371528
2015-06-20,1,5,17.125,13,NA,3,220.298734884554
2015-06-20,1,5,17.125,13,NA,5,280.186941692026
2015-06-21,1,6,15.75,6,NA,1,77.1354317914719
2015-06-21,1,6,15.75,6,NA,2,553.599170821681
2015-06-21,1,6,15.75,6,NA,3,206.347777642486
2015-06-21,1,6,15.75,6,NA,4,79.6238577111724
2015-06-21,1,6,15.75,6,NA,5,235.514638799317
2015-06-22,1,5,13.5,8,61,1,135.938737758693
2015-06-22,1,5,13.5,8,61,2,412.309330067662
2015-06-22,1,5,13.5,8,61,3,183.964615046141
2015-06-22,1,5,13.5,8,61,4,95.7934490225752
2015-06-22,1,5,13.5,8,61,5,254.862522218275
2015-06-23,1,5,16.5,10,21,1,122.481453982781
2015-06-23,1,5,16.5,10,21,2,423.1358501964
2015-06-23,1,5,16.5,10,21,3,172.407057152837
2015-06-23,1,5,16.5,10,21,4,59.3399435978971
2015-06-23,1,5,16.5,10,21,5,270.726957416684
2015-06-24,1,8,12.625,14,61,1,128.059192073461
2015-06-24,1,8,12.625,14,61,2,479.943327331225
2015-06-24,1,8,12.625,14,61,3,179.618053020787
2015-06-24,1,8,12.625,14,61,4,136.751450668224
2015-06-24,1,8,12.625,14,61,5,300.990362700812
2015-06-25,1,6,17.125,8,21,1,178.518522583761
2015-06-25,1,6,17.125,8,21,2,484.513720535521
2015-06-25,1,6,17.125,8,21,3,169.658267286
2015-06-25,1,6,17.125,8,21,4,76.9256449556744
2015-06-25,1,6,17.125,8,21,5,271.335895693763
2015-06-26,1,7,19.25,5,61,1,148.837350354137
2015-06-26,1,7,19.25,5,61,2,517.667163948615
2015-06-26,1,7,19.25,5,61,3,181.11146289077
2015-06-26,1,7,19.25,5,61,4,133.675162322483
2015-06-26,1,7,19.25,5,61,5,304.239937730854
2015-06-27,1,7,19.375,16,61,1,169.797038127635
2015-06-27,1,7,19.375,16,61,2,708.700690129254
2015-06-27,1,7,19.375,16,61,3,274.594255311076
2015-06-27,1,7,19.375,16,61,4,51.4184892058944
2015-06-27,1,7,19.375,16,61,5,428.433111120672
2015-06-28,1,2,19.875,10,NA,1,77.928316055467
2015-06-28,1,2,19.875,10,NA,2,686.349904220686
2015-06-28,1,2,19.875,10,NA,3,248.020004494018
2015-06-28,1,2,19.875,10,NA,4,92.6062037819606
2015-06-28,1,2,19.875,10,NA,5,309.491842337963
2016-06-18,1,6,18,12,21,1,178.053503357419
2016-06-18,1,6,18,12,21,2,455.115566690297
2016-06-18,1,6,18,12,21,3,210.995958062752
2016-06-18,1,6,18,12,21,4,74.0956742931782
2016-06-18,1,6,18,12,21,5,297.196176882937
2016-06-19,1,7,16,14,NA,1,47.3015501376727
2016-06-19,1,7,16,14,NA,2,515.510722561944
2016-06-19,1,7,16,14,NA,3,221.472814024848
2016-06-19,1,7,16,14,NA,4,157.876050195996
2016-06-19,1,7,16,14,NA,5,258.683021783885
2016-06-20,1,4,20.875,10,61,1,154.234328655126
2016-06-20,1,4,20.875,10,61,2,414.129888774016
2016-06-20,1,4,20.875,10,61,3,160.366420638134
2016-06-20,1,4,20.875,10,61,4,80.4346390087438
2016-06-20,1,4,20.875,10,61,5,261.929083791593
2016-06-21,1,4,19.875,9,NA,1,122.723468787436
2016-06-21,1,4,19.875,9,NA,2,390.81874030213
2016-06-21,1,4,19.875,9,NA,3,147.991076622665
2016-06-21,1,4,19.875,9,NA,4,75.1865037322638
2016-06-21,1,4,19.875,9,NA,5,250.953444723129
2016-06-22,1,5,22.125,9,61,1,98.8851882321757
2016-06-22,1,5,22.125,9,61,2,437.625292013129
2016-06-22,1,5,22.125,9,61,3,132.946056097799
2016-06-22,1,5,22.125,9,61,4,46.4521045149254
2016-06-22,1,5,22.125,9,61,5,245.204941108968
2016-06-23,1,5,27.875,8,NA,1,159.229870584471
2016-06-23,1,5,27.875,8,NA,2,444.85642620105
2016-06-23,1,5,27.875,8,NA,3,161.58432145411
2016-06-23,1,5,27.875,8,NA,4,77.5616208592352
2016-06-23,1,5,27.875,8,NA,5,231.264672708937
2016-06-24,1,5,24.125,9,NA,1,146.028836187358
2016-06-24,1,5,24.125,9,NA,2,504.789708077128
2016-06-24,1,5,24.125,9,NA,3,161.274225315318
2016-06-24,1,5,24.125,9,NA,5,241.758175059788
2016-06-25,1,7,18.25,14,95,1,160.675602624552
2016-06-25,1,7,18.25,14,95,2,770.940264429072
2016-06-25,1,7,18.25,14,95,3,330.478660501536
2016-06-25,1,7,18.25,14,95,4,80.143148747234
2016-06-25,1,7,18.25,14,95,5,402.98066537422
2016-06-26,1,5,19.25,11,0,1,70.9661977461169
2016-06-26,1,5,19.25,11,0,2,673.058408685448
2016-06-26,1,5,19.25,11,0,3,240.674329382729
2016-06-26,1,5,19.25,11,0,4,103.99952080863
2016-06-26,1,5,19.25,11,0,5,265.456146687391
2017-06-17,1,0,20.125,15,0,1,152.587185601354
2017-06-17,1,0,20.125,15,0,2,578.780125724772
2017-06-17,1,0,20.125,15,0,3,289.376417642361
2017-06-17,1,0,20.125,15,0,4,72.512643357311
2017-06-17,1,0,20.125,15,0,5,352.506179682214
2017-06-18,1,2,24.25,9,NA,1,75.1727854873289
2017-06-18,1,2,24.25,9,NA,2,586.165188828483
2017-06-18,1,2,24.25,9,NA,3,301.35058891641
2017-06-18,1,2,24.25,9,NA,4,71.2599878811923
2017-06-18,1,2,24.25,9,NA,5,216.356703017971
2017-06-19,1,1,25.375,7,0,1,146.631334543439
2017-06-19,1,1,25.375,7,0,2,382.488175663817
2017-06-19,1,1,25.375,7,0,3,211.583246910582
2017-06-19,1,1,25.375,7,0,4,66.5031569430632
2017-06-19,1,1,25.375,7,0,5,266.040845002576
2017-06-20,1,0,20.75,12,0,1,127.815304326711
2017-06-20,1,0,20.75,12,0,2,434.849517951858
2017-06-20,1,0,20.75,12,0,3,181.240683684111
2017-06-20,1,0,20.75,12,0,4,59.7710397044917
2017-06-20,1,0,20.75,12,0,5,239.596188002166
2017-06-21,1,3,18.75,10,NA,1,120.022105971466
2017-06-21,1,3,18.75,10,NA,2,430.906719081176
2017-06-21,1,3,18.75,10,NA,3,181.547354525725
2017-06-21,1,3,18.75,10,NA,4,74.2881182284261
2017-06-21,1,3,18.75,10,NA,5,232.925986116455
2017-06-22,1,3,20.25,10,95,1,78.1688619382617
2017-06-22,1,3,20.25,10,95,2,418.672448020086
2017-06-22,1,3,20.25,10,95,3,143.490671929285
2017-06-22,1,3,20.25,10,95,4,93.3756723023931
2017-06-22,1,3,20.25,10,95,5,231.444516999084
2017-06-23,1,7,17.25,14,61,1,160.591006007475
2017-06-23,1,7,17.25,14,61,2,439.210505371538
2017-06-23,1,7,17.25,14,61,3,172.344413428855
2017-06-23,1,7,17.25,14,61,4,79.9477044026905
2017-06-23,1,7,17.25,14,61,5,335.567446461642
2017-06-24,1,6,17.875,19,61,1,213.304834757744
2017-06-24,1,6,17.875,19,61,2,631.28176537999
2017-06-24,1,6,17.875,19,61,3,367.632769652741
2017-06-24,1,6,17.875,19,61,4,62.1562035019027
2017-06-24,1,6,17.875,19,61,5,448.004437068748
2017-06-25,1,7,17.25,16,20,1,69.3531645812572
2017-06-25,1,7,17.25,16,20,2,577.997897373246
2017-06-25,1,7,17.25,16,20,3,257.372454543866
2017-06-25,1,7,17.25,16,20,4,94.280904248875
2017-06-25,1,7,17.25,16,20,5,305.520160355371
2018-06-16,1,5,21.325,7,95,1,165.240825926878
2018-06-16,1,5,21.325,7,95,2,536.452348266225
2018-06-16,1,5,21.325,7,95,3,249.755999609154
2018-06-16,1,5,21.325,7,95,4,79.9425697031279
2018-06-16,1,5,21.325,7,95,5,209.362082944004
2018-06-17,1,5,18.275,12,61,1,131.774736746731
2018-06-17,1,5,18.275,12,61,2,561.16613003467
2018-06-17,1,5,18.275,12,61,3,301.987694387114
2018-06-17,1,5,18.275,12,61,4,105.970913596347
2018-06-17,1,5,18.275,12,61,5,351.208968634828
2018-06-18,1,7,17.6375,9,61,1,150.60898110442
2018-06-18,1,7,17.6375,9,61,2,453.773846005242
2018-06-18,1,7,17.6375,9,61,3,183.905575463908
2018-06-18,1,7,17.6375,9,61,4,52.4623142900464
2018-06-18,1,7,17.6375,9,61,5,368.908774188599
2018-06-19,1,3,19.2375,16,21,1,134.103229549554
2018-06-19,1,3,19.2375,16,21,2,439.387692233904
2018-06-19,1,3,19.2375,16,21,3,167.94911352995
2018-06-19,1,3,19.2375,16,21,4,47.8861290193053
2018-06-19,1,3,19.2375,16,21,5,271.817641139495
2018-06-20,1,3,23.65,13,0,1,187.760363692391
2018-06-20,1,3,23.65,13,0,2,438.20673354481
2018-06-20,1,3,23.65,13,0,3,178.485146197655
2018-06-20,1,3,23.65,13,0,4,68.6435116412585
2018-06-20,1,3,23.65,13,0,5,329.991266466933
2018-06-21,1,7,11.5625,15,65,1,137.380800589863
2018-06-21,1,7,11.5625,15,65,2,425.408065202863
2018-06-21,1,7,11.5625,15,65,3,165.510528887169
2018-06-21,1,7,11.5625,15,65,4,50.3503164926632
2018-06-21,1,7,11.5625,15,65,5,301.074413373322
2018-06-22,1,5,15.575,20,61,1,173.94005241559
2018-06-22,1,5,15.575,20,61,2,443.18009337283
2018-06-22,1,5,15.575,20,61,3,205.270413262478
2018-06-22,1,5,15.575,20,61,4,62.6581464475431
2018-06-22,1,5,15.575,20,61,5,349.50958339019
2018-06-23,1,7,14.3,18,61,1,228.688308197952
2018-06-23,1,7,14.3,18,61,2,706.424379766017
2018-06-23,1,7,14.3,18,61,3,339.700511154661
2018-06-23,1,7,14.3,18,61,4,49.884049264678
2018-06-23,1,7,14.3,18,61,5,662.369320660577
2018-06-24,1,6,16.2375,10,21,1,96.8397776549712
2018-06-24,1,6,16.2375,10,21,2,579.887614059894
2018-06-24,1,6,16.2375,10,21,3,312.533160106558
2018-06-24,1,6,16.2375,10,21,4,68.6194271147451
2018-06-24,1,6,16.2375,10,21,5,275.941582346904
